Name,Sport,Year,Class_Year,Position,Hometown,High_School,Height,Weight,Source_URL
Nathan Ford,Baseball,2008,Jr.,C/IF,"Palo Alto, Calif.",Palo Alto HS,6-1,N/A,https://cornellbigred.com/sports/baseball/roster/2008
Ry Kagan,Baseball,2008,Sr.,OF,"Portland, Ore.",Cleveland HS,6-1,N/A,https://cornellbigred.com/sports/baseball/roster/2008
Scott Hardinger,Baseball,2008,Jr.,IF,"Lynden, Wash.",Lynden HS,5-10,N/A,https://cornellbigred.com/sports/baseball/roster/2008
Stephen Osterer,Baseball,2008,Jr.,RHP,"Nepean, Ont.",Sir Robert Borden HS,5-9,N/A,https://cornellbigred.com/sports/baseball/roster/2008
Steven Dannaway,Baseball,2008,So.,IF,"Honolulu, Hawaii",Punahou School,5-8,N/A,https://cornellbigred.com/sports/baseball/roster/2008
Taylor Wood,Baseball,2008,Fr.,RHP,"Windham, N.H.",Bishop Guertin HS,6-4,N/A,https://cornellbigred.com/sports/baseball/roster/2008
Tony Bandanza,Baseball,2008,Sr.,C,"Hudson, N.H.",St. Mark's School,6-0,N/A,https://cornellbigred.com/sports/baseball/roster/2008
Tony Bertucci,Baseball,2008,So.,RHP,"Belleville, Ill.",St. Louis University HS,6-4,N/A,https://cornellbigred.com/sports/baseball/roster/2008
Walker Toma,Baseball,2008,Sr.,RHP,"Berkeley, Calif.",Berkeley HS,6-1,N/A,https://cornellbigred.com/sports/baseball/roster/2008
Will Keehn,Baseball,2008,Fr.,RHP,"San Luis Obispo, Calif.",San Luis Obispo HS,6-5,N/A,https://cornellbigred.com/sports/baseball/roster/2008
Adam Jacobs,Baseball,2009,Sr.,C,"Del Mar, Calif.",Torrey Pines HS,6-2,190,https://cornellbigred.com/sports/baseball/roster/2009
Brandon Lee,Baseball,2009,Fr.,C,"Mission Viejo, Calif.",Trabuco Hills HS,6-1,190,https://cornellbigred.com/sports/baseball/roster/2009
Brian Billigen,Baseball,2009,Fr.,OF,"Carnegie, Pa.",Bishop Canevin HS,6-0,170,https://cornellbigred.com/sports/baseball/roster/2009
Casey Brett,Baseball,2009,Sr.,IF,"Spokane, Wash.",Joel E. Ferris HS,6-1,175,https://cornellbigred.com/sports/baseball/roster/2009
Corey Pappel,Baseball,2009,So.,RHP,"Mississauga, Ontario",The Woodlands School,6-6,205,https://cornellbigred.com/sports/baseball/roster/2009
Dan Lea,Baseball,2009,So.,RHP,"Allentown, Pa.",Salisbury HS,6-1,185,https://cornellbigred.com/sports/baseball/roster/2009
David Rochefort,Baseball,2009,Jr.,RHP,"Arcadia, Calif.",Loyola HS,6-1,200,https://cornellbigred.com/sports/baseball/roster/2009
Domenic Di Ricco,Baseball,2009,Sr.,OF,"Portola Valley, Calif.",Menlo-Atherton HS,6-0,180,https://cornellbigred.com/sports/baseball/roster/2009
Eddie Timpano,Baseball,2009,Sr.,C,"New Hartford, N.Y.",New Hartford HS,6-0,200,https://cornellbigred.com/sports/baseball/roster/2009
Frank Hager,Baseball,2009,Fr.,IF,"Berkeley Heights, N.J.",Delbarton School,6-2,190,https://cornellbigred.com/sports/baseball/roster/2009
Jadd Schmeltzer,Baseball,2009,So.,RHP,"Tappan, N.Y.",Bergen Catholic HS,6-5,245,https://cornellbigred.com/sports/baseball/roster/2009
Jerry Vitiello,Baseball,2009,Jr.,IF,"Yonkers, N.Y.",Regis HS,5-11,190,https://cornellbigred.com/sports/baseball/roster/2009
Kyle Groth,Baseball,2009,Sr.,OF,"Delray Beach, Fla.",Pope John Paul II HS,6-3,205,https://cornellbigred.com/sports/baseball/roster/2009
Marshall Yanzick,Baseball,2009,Fr.,IF,"Beaverton, Ore.",Jesuit HS,6-2,185,https://cornellbigred.com/sports/baseball/roster/2009
Matt Hill,Baseball,2009,Jr.,LHP,"Export, Pa.",Franklin Regional,6-1,180,https://cornellbigred.com/sports/baseball/roster/2009
Matt Langseth,Baseball,2009,Jr.,IF,"San Ramon, Calif.",California HS,5-11,170,https://cornellbigred.com/sports/baseball/roster/2009
Mickey Brodsky,Baseball,2009,So.,LHP,"Encino, Calif.",Cleveland HS,6-0,195,https://cornellbigred.com/sports/baseball/roster/2009
Mike Carroll,Baseball,2009,So.,LHP,"Glenmont, N.Y.",Bethlehem Central HS,5-9,175,https://cornellbigred.com/sports/baseball/roster/2009
Mike Lopez,Baseball,2009,So.,C,"Boynton Beach, Fla.",Atlantic Community HS,5-10,190,https://cornellbigred.com/sports/baseball/roster/2009
Nate David,Baseball,2009,Jr.,OF,"Atlanta, Ga.",Woodward Academy,6-1,185,https://cornellbigred.com/sports/baseball/roster/2009
Nathan Ford,Baseball,2009,Sr.,C/IF,"Palo Alto, Calif.",Palo Alto HS,6-1,200,https://cornellbigred.com/sports/baseball/roster/2009
Patrick Lewicki,Baseball,2009,Fr.,RHP,"Los Gatos, Calif.",Bellarmine College Prep,6-1,190,https://cornellbigred.com/sports/baseball/roster/2009
Scott Hardinger,Baseball,2009,Sr.,IF,"Lynden, Wash.",Lynden HS,5-10,165,https://cornellbigred.com/sports/baseball/roster/2009
Stephen Osterer,Baseball,2009,Sr.,RHP,"Nepean, Ont.",Sir Robert Borden HS,5-9,180,https://cornellbigred.com/sports/baseball/roster/2009
Taylor Wood,Baseball,2009,So.,RHP,"Windham, N.H.",Bishop Guertin HS,6-4,210,https://cornellbigred.com/sports/baseball/roster/2009
Tony Bertucci,Baseball,2009,Jr.,RHP,"Belleville, Ill.",St. Louis University HS,6-4,185,https://cornellbigred.com/sports/baseball/roster/2009
Will Keehn,Baseball,2009,So.,RHP,"San Luis Obispo, Calif.",San Luis Obispo HS,6-5,210,https://cornellbigred.com/sports/baseball/roster/2009
Anthony Irigoyen,Baseball,2010,Fr.,RHP/INF,"Naples, Fla.",Palmetto Ridge HS,6-0,175,https://cornellbigred.com/sports/baseball/roster/2010
Brandon Lee,Baseball,2010,So.,C,"Mission Viejo, Calif.",Trabuco Hills HS,6-1,190,https://cornellbigred.com/sports/baseball/roster/2010
Brenton Peters,Baseball,2010,Fr.,INF,"Leesburg, Va.",Heritage HS,5-9,150,https://cornellbigred.com/sports/baseball/roster/2010
Brian Billigen,Baseball,2010,So.,OF,"Carnegie, Pa.",Bishop Canevin HS,6-0,170,https://cornellbigred.com/sports/baseball/roster/2010
Chris Burke,Baseball,2010,Fr.,C,"Redondo Beach, Calif.",Redondo Union HS,6-2,180,https://cornellbigred.com/sports/baseball/roster/2010
