Name,Sport,Year,Class_Year,Position,Hometown,High_School,Height,Weight,Source_URL
James Gowans,Mens Track And Field,2013,Fr.,N/A,"Mexico, N.Y.",Mexico HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2013-14
Joe Mankovecky,Mens Track And Field,2013,Fr.,N/A,"Columbus, Ohio",Bishop Watterson HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2013-14
John Enkler,Mens Track And Field,2013,Fr.,N/A,"Poughkeepsie, N.Y.",Our Lady of Lourdes HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2013-14
John Schilkowsky,Mens Track And Field,2013,Sr.,N/A,"Morganton, N.C.",R.L. Patton HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2013-14
Jonathan Hanninen,Mens Track And Field,2013,Jr.,N/A,"Swanzey, N.H.",Monadnock Regional,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2013-14
Jonathan Phillips,Mens Track And Field,2013,Jr.,N/A,"Herndon, Va.",Thomas Jefferson HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2013-14
Jordan Sherwood,Mens Track And Field,2013,Fr.,N/A,"Cambridge, Ontario",Cameron Heights Secondary School,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2013-14
Jung Soo Park,Mens Track And Field,2013,Fr.,N/A,"Newton, Mass.",Newton South HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2013-14
Justin Love,Mens Track And Field,2013,Fr.,N/A,"Matawan, N.J.",Matawan HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2013-14
Justin McCollin,Mens Track And Field,2013,Sr.,N/A,"Highland Mills, N.Y.",Monroe Woodbury HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2013-14
Keith Rayburn,Mens Track And Field,2013,Jr.,N/A,"Prunetucky, Calif.",North Monterey County HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2013-14
Kieran Kinnare,Mens Track And Field,2013,Jr.,N/A,"Ipswich, Mass.",Ipswich HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2013-14
Kinsley Ojukwu,Mens Track And Field,2013,Sr.,N/A,"Vancouver, Wash.",Union HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2013-14
Larry Gibson,Mens Track And Field,2013,So.,N/A,"Charlotte, N.C.",Phillip Berry Academy,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2013-14
Logan Kreglow,Mens Track And Field,2013,So.,N/A,"Whitehall, Pa.",Whitehall HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2013-14
Mark Tedder,Mens Track And Field,2013,Fr.,N/A,"Battle Ground, Wash.",Battle Ground HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2013-14
Martin Murillo,Mens Track And Field,2013,Fr.,N/A,"Bogota, Columbia",Timber Creek HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2013-14
Matt Casbarro,Mens Track And Field,2013,Fr.,N/A,"Providence, R.I.",Bishop Hendricken HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2013-14
Matt Crawford,Mens Track And Field,2013,So.,N/A,"Delmar, N.Y.",Bethlehem Central HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2013-14
Matthew Mitchell,Mens Track And Field,2013,Jr.,N/A,"Mason, Ohio",William Mason HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2013-14
Max Groves,Mens Track And Field,2013,Sr.,N/A,"Ballston Spa, N.Y.",Ballston Spa HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2013-14
Max Hairston,Mens Track And Field,2013,So.,N/A,"Lower Gwynedd, Pa.",Wissahickon HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2013-14
Michael Conroy,Mens Track And Field,2013,Sr.,N/A,"San Diego, Calif.",La Jolla HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2013-14
Mike Rabbitt,Mens Track And Field,2013,Sr.,N/A,"Oneida, N.Y.",Oneida HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2013-14
Mitch Martin,Mens Track And Field,2013,So.,N/A,"Half Moon Bay, Calif.",Half Moon Bay HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2013-14
Montez Blair,Mens Track And Field,2013,Sr.,N/A,"Erial, N.J.",Timber Creek HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2013-14
Nick Athanasopoulos,Mens Track And Field,2013,Jr.,N/A,"Fitzwilliam, N.H.",Monadnock Regional,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2013-14
Peter Roach,Mens Track And Field,2013,Sr.,N/A,"Elkhart, Ind.",Elkhart Memorial HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2013-14
Phelan McCormack,Mens Track And Field,2013,Jr.,N/A,"Pearl River, N.Y.",Don Bosco Prep,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2013-14
Praduman Singh,Mens Track And Field,2013,So.,N/A,"Upper Darby, Pa.",Upper Darby HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2013-14
Rachid Zidani,Mens Track And Field,2013,Fr.,N/A,"Ocean Gate, N.J.",Central Regional HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2013-14
Rob Robbins,Mens Track And Field,2013,Jr.,N/A,"LeRaysville, Pa.",Rome HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2013-14
Rudy Winkler,Mens Track And Field,2013,Fr.,N/A,"Sand Lake, N.Y.",Averill Park HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2013-14
Ryan Hynes,Mens Track And Field,2013,So.,N/A,"Warrington, Pa.",Central Bucks South HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2013-14
Ryan Lucken,Mens Track And Field,2013,Fr.,N/A,"Newton, Mass.",Newton North HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2013-14
Sam Belcher,Mens Track And Field,2013,Jr.,N/A,"Deerfield, Mass.",Deerfield Academy,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2013-14
Samuel Baxter,Mens Track And Field,2013,So.,N/A,"Kitchener, Ontario",St. Mary's High School,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2013-14
Sasha Andrievsky,Mens Track And Field,2013,Fr.,N/A,"Webster, N.Y.",Webster Thomas HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2013-14
Sebastian Roemer,Mens Track And Field,2013,Jr.,N/A,"Kimberton, Pa.",Kimberton Waldorf HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2013-14
Stephen Afadapa,Mens Track And Field,2013,So.,N/A,"Cypress, Texas",Cypress Ranch HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2013-14
Stephen Mozia,Mens Track And Field,2013,Jr.,N/A,"Hackensack, N.J.",Hackensack High,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2013-14
Stephen Pawlak,Mens Track And Field,2013,Jr.,N/A,"Stow, Mass.",Milton Academy,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2013-14
Steven Bell,Mens Track And Field,2013,Sr.,N/A,"Garner, N.C.",Southeast HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2013-14
Thomas Butler,Mens Track And Field,2013,Sr.,N/A,"Middleburg, Md.",Francis Scott Key HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2013-14
Tobe Attah,Mens Track And Field,2013,Fr.,N/A,"Irving, Texas",Irving HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2013-14
Tyler Eustance,Mens Track And Field,2013,Jr.,N/A,"Hilton, N.Y.",Hilton HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2013-14
Tyler Kawalec,Mens Track And Field,2013,So.,N/A,"Chardon, Ohio",Chardon HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2013-14
Udoka Eze,Mens Track And Field,2013,Fr.,N/A,"Lewisburg, Pa.",Lewisburg Area HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2013-14
Vince Harnett,Mens Track And Field,2013,Fr.,N/A,"Hunterdon, N.J.",Hunterdon Central HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2013-14
Weston Northrop,Mens Track And Field,2013,Fr.,N/A,"Missoula, Mon.",Big Sky HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2013-14
Will Gibson,Mens Track And Field,2013,Fr.,N/A,"Hopewell, N.J.",Hopewell Valley HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2013-14
Will Weinlandt,Mens Track And Field,2013,Sr.,N/A,"New York, N.Y.",Regis HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2013-14
William Reis,Mens Track And Field,2013,Jr.,N/A,"Cooperstown, N.Y.",Cooperstown Central,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2013-14
Wynn Curtis,Mens Track And Field,2013,Fr.,N/A,"Corning, N.Y.",Corning East HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2013-14
Zachary Flood,Mens Track And Field,2013,Jr.,N/A,"Blue Point, N.Y.",Bayport-Blue Point HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2013-14
Zack Israel,Mens Track And Field,2013,Fr.,N/A,"Yardley, Pa.",Holy Ghost Prep,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2013-14
Zinzan Fern,Mens Track And Field,2013,Jr.,N/A,Barbados,New Zealand,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2013-14
Alex Clapacs,Mens Track And Field,2014,Fr.,N/A,"Cleveland, Ohio",Gilmour Academy,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2014-15
Alex Rodriguez,Mens Track And Field,2014,Fr.,N/A,"Sagamore Hills, Ohio",Walsh Jesuit HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2014-15
Andrew  Robinson,Mens Track And Field,2014,Fr.,N/A,"Owings Mill, Md.",McDonough School,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2014-15
Austin Jamerson,Mens Track And Field,2014,So.,N/A,"Merrillville, Ind.",Merrillville HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2014-15
Ben Potts,Mens Track And Field,2014,Sr.,N/A,"Haddonfield, N.J.",Haddonfield Memorial HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2014-15
Ben Rainero,Mens Track And Field,2014,Jr.,N/A,"San Francisco, Calif.",International High School,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2014-15
Blake Smith,Mens Track And Field,2014,Fr.,N/A,"DeWitt, Mich.",DeWitt HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2014-15
Bobby Plummer,Mens Track And Field,2014,So.,N/A,"Scarsdale, N.Y.",Scarsdale HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2014-15
Brailin Paulino,Mens Track And Field,2014,Fr.,N/A,"Fresno, Calif.",Clovis West HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2014-15
Brian Eimstad,Mens Track And Field,2014,Jr.,N/A,"Eugene, Ore.",South Eugene HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2014-15
Bryant Stuttle,Mens Track And Field,2014,So.,N/A,"Dryden, N.Y.",Dryden HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2014-15
Cam Hebert,Mens Track And Field,2014,So.,N/A,"Boxford, Mass.",Masconomet HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2014-15
Chase Silverman,Mens Track And Field,2014,Fr.,N/A,"Glencoe, Ill.",New Trier HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2014-15
Connor Herr,Mens Track And Field,2014,Jr.,N/A,"Medford, N.J.",Shawnee HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2014-15
Connor Strynkowski,Mens Track And Field,2014,Jr.,N/A,"Palmyra, Pa.",Palmyra HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2014-15
David Karabinos,Mens Track And Field,2014,So.,N/A,"Orange, Conn.",Amity Regional HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2014-15
David Melly,Mens Track And Field,2014,Sr.,N/A,"Newton, Mass.",Newton South HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2014-15
David Taylor,Mens Track And Field,2014,So.,N/A,"Charlottesville, Va.",Western Albemarle HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2014-15
Dominic DeLuca,Mens Track And Field,2014,Fr.,N/A,"Dallas, Pa.",Dallas HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2014-15
Francisco Olloqui,Mens Track And Field,2014,Sr.,N/A,"Hawthorne, Calif.",Junipero Sera HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2014-15
George Oliver,Mens Track And Field,2014,Jr.,N/A,"Winston-Salem, N.C.",Mount Tabor HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2014-15
Grant  Sisserson,Mens Track And Field,2014,So.,N/A,"Scottsdale, Ariz.",Horizon HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2014-15
Jacob Shaffer,Mens Track And Field,2014,Fr.,N/A,"Middleburg, Pa.",Midd-West HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2014-15
James Gowans,Mens Track And Field,2014,So.,N/A,"Mexico, N.Y.",Mexico HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2014-15
James Smith,Mens Track And Field,2014,Fr.,N/A,"Greenwich, Conn.",Cranwell School,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2014-15
Jared Failor,Mens Track And Field,2014,Fr.,N/A,"Cedar Falls, Iowa",Cedar Falls HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2014-15
Joe Mankovecky,Mens Track And Field,2014,So.,N/A,"Columbus, Ohio",Bishop Watterson HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2014-15
John Enkler,Mens Track And Field,2014,So.,N/A,"Poughkeepsie, N.Y.",Our Lady of Lourdes HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2014-15
Jonathan Hanninen,Mens Track And Field,2014,Sr.,N/A,"Swanzey, N.H.",Monadnock Regional,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2014-15
Jonathan Phillips,Mens Track And Field,2014,Sr.,N/A,"Herndon, Va.",Thomas Jefferson HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2014-15
Jordan Sherwood,Mens Track And Field,2014,So.,N/A,"Cambridge, Ontario",Cameron Heights Secondary School,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2014-15
Josh Dyrland,Mens Track And Field,2014,Fr.,N/A,"Irondequoit, N.Y.",Irondequoit HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2014-15
Justin Love,Mens Track And Field,2014,So.,N/A,"Matawan, N.J.",Matawan HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2014-15
Keith Rayburn,Mens Track And Field,2014,Sr.,N/A,"Prunetucky, Calif.",North Monterey County HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2014-15
Kelsey Nedd,Mens Track And Field,2014,Fr.,N/A,"Randallstown, Md.",McDonough School,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2014-15
Kieran Kinnare,Mens Track And Field,2014,Sr.,N/A,"Ipswich, Mass.",Ipswich HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2014-15
Larry Gibson,Mens Track And Field,2014,Jr.,N/A,"Charlotte, N.C.",Phillip Berry Academy,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2014-15
Lionel Chambers,Mens Track And Field,2014,Fr.,N/A,"Parsippany, N.J.",Parsippany HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2014-15
Logan Kreglow,Mens Track And Field,2014,Jr.,N/A,"Whitehall, Pa.",Whitehall HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2014-15
Mark Tedder,Mens Track And Field,2014,So.,N/A,"Battle Ground, Wash.",Battle Ground HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2014-15
Mark Zavrl,Mens Track And Field,2014,Fr.,N/A,"Exeter, N.H.",Phillips Exeter Academy,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2014-15
Martin Murillo,Mens Track And Field,2014,So.,N/A,"Bogota, Columbia",Timber Creek HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2014-15
Matt Crawford,Mens Track And Field,2014,Jr.,N/A,"Delmar, N.Y.",Bethlehem Central HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2014-15
Max Hairston,Mens Track And Field,2014,Jr.,N/A,"Lower Gwynedd, Pa.",Wissahickon HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2014-15
Michael Smith,Mens Track And Field,2014,Fr.,N/A,"Wayzata, Minn.",Wayzata HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2014-15
Michael Wang,Mens Track And Field,2014,Fr.,N/A,"Lafayette, Calif.",Acalanes HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2014-15
Myles  Lazarou,Mens Track And Field,2014,Fr.,N/A,"Summerfield, N.C.",Northern Guilford HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2014-15
Oseoba  Airewele,Mens Track And Field,2014,Fr.,N/A,"Ithaca, N.Y.",Ithaca HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2014-15
Phelan McCormack,Mens Track And Field,2014,Sr.,N/A,"Pearl River, N.Y.",Don Bosco Prep,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2014-15
Rachid Zidani,Mens Track And Field,2014,So.,N/A,"Ocean Gate, N.J.",Central Regional HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2014-15
Raymond Chang,Mens Track And Field,2014,Fr.,N/A,"Shanghai, China",Shanghai American School,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2014-15
Rob Robbins,Mens Track And Field,2014,Sr.,N/A,"LeRaysville, Pa.",Rome HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2014-15
Ross Clarke,Mens Track And Field,2014,Fr.,N/A,"Somerset, N.J.",Franklin HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2014-15
Rudy Winkler,Mens Track And Field,2014,So.,N/A,"Sand Lake, N.Y.",Averill Park HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2014-15
Ryan Hynes,Mens Track And Field,2014,Jr.,N/A,"Warrington, Pa.",Central Bucks South HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2014-15
Ryan Weigel,Mens Track And Field,2014,Fr.,N/A,"Southlake, Texas",Southlake Carroll HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2014-15
Sam Belcher,Mens Track And Field,2014,Sr.,N/A,"Deerfield, Mass.",Deerfield Academy,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2014-15
Sam Chauvin,Mens Track And Field,2014,Fr.,N/A,"Corning, N.Y.",Corning HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2014-15
Samuel Baxter,Mens Track And Field,2014,Jr.,N/A,"Kitchener, Ontario",St. Mary's High School,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2014-15
Sean Waterton,Mens Track And Field,2014,So.,N/A,"Fairfax, Va.",Thomas Jefferson HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2014-15
Sebastian Roemer,Mens Track And Field,2014,Sr.,N/A,"Kimberton, Pa.",Kimberton Waldorf HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2014-15
Stanford Cooper,Mens Track And Field,2014,Fr.,N/A,"Greenwood Village, Colo.",Cherry Creek HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2014-15
Stephen Afadapa,Mens Track And Field,2014,Jr.,N/A,"Cypress, Texas",Cypress Ranch HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2014-15
Stephen Mozia,Mens Track And Field,2014,Sr.,N/A,"Hackensack, N.J.",Hackensack High,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2014-15
Stephen Pawlak,Mens Track And Field,2014,Sr.,N/A,"Stow, Mass.",Milton Academy,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2014-15
Tim Boston,Mens Track And Field,2014,Fr.,N/A,"Suffern, N.Y.",Suffern HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2014-15
Tobe Attah,Mens Track And Field,2014,So.,N/A,"Irving, Texas",Irving HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2014-15
Tyler Eustance,Mens Track And Field,2014,Sr.,N/A,"Hilton, N.Y.",Hilton HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2014-15
Tyler Kawalec,Mens Track And Field,2014,Jr.,N/A,"Chardon, Ohio",Chardon HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2014-15
Vince Harnett,Mens Track And Field,2014,So.,N/A,"Hunterdon, N.J.",Hunterdon Central HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2014-15
Wesley Tucker,Mens Track And Field,2014,Fr.,N/A,"Jacksonville, N.C.",Jacksonville HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2014-15
Weston Northrop,Mens Track And Field,2014,So.,N/A,"Missoula, Mon.",Big Sky HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2014-15
Will  Ronchetti,Mens Track And Field,2014,Fr.,N/A,"Brighton, N.Y.",Brighton HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2014-15
Will Gibson,Mens Track And Field,2014,So.,N/A,"Hopewell, N.J.",Hopewell Valley HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2014-15
Wynn Curtis,Mens Track And Field,2014,So.,N/A,"Corning, N.Y.",Corning East HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2014-15
Zack Israel,Mens Track And Field,2014,So.,N/A,"Yardley, Pa.",Holy Ghost Prep,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2014-15
Alex Beck,Mens Track And Field,2015,Fr.,N/A,"Oceanside, Calif.",Tri-City Christian School,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2015-16
Alex Clapacs,Mens Track And Field,2015,So.,N/A,"Cleveland, Ohio",Gilmour Academy,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2015-16
Alex Rodriguez,Mens Track And Field,2015,So.,N/A,"Sagamore Hills, Ohio",Walsh Jesuit HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2015-16
Andrew  Robinson,Mens Track And Field,2015,So.,N/A,"Owings Mill, Md.",McDonough School,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2015-16
Andrew Barlow,Mens Track And Field,2015,Fr.,N/A,"Louisville, Colo.",Monarch HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2015-16
Austin  Lyons,Mens Track And Field,2015,Fr.,N/A,"Lawrenceville, Ga.",Archer HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2015-16
Austin Jamerson,Mens Track And Field,2015,Jr.,N/A,"Merrillville, Ind.",Merrillville HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2015-16
Ben Rainero,Mens Track And Field,2015,Sr.,N/A,"San Francisco, Calif.",International High School,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2015-16
Blake Smith,Mens Track And Field,2015,So.,N/A,"DeWitt, Mich.",DeWitt HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2015-16
Bobby Plummer,Mens Track And Field,2015,Jr.,N/A,"Scarsdale, N.Y.",Scarsdale HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2015-16
Brailin Paulino,Mens Track And Field,2015,So.,N/A,"Fresno, Calif.",Clovis West HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2015-16
Brandon Phillips,Mens Track And Field,2015,Fr.,N/A,"Cleveland, Ohio",Gilmour Academy,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2015-16
Brian Eimstad,Mens Track And Field,2015,Sr.,N/A,"Eugene, Ore.",South Eugene HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2015-16
Bryant Stuttle,Mens Track And Field,2015,Jr.,N/A,"Dryden, N.Y.",Dryden HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2015-16
Caleb Zhu,Mens Track And Field,2015,So.,N/A,,,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2015-16
Chase Silverman,Mens Track And Field,2015,So.,N/A,"Glencoe, Ill.",New Trier HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2015-16
Christian Belardi,Mens Track And Field,2015,So.,N/A,"New York, N.Y.",The Lawrenceville School,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2015-16
Chudi Ilogu,Mens Track And Field,2015,Fr.,N/A,"Belle Mead, N.J.",The Lawrenceville School,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2015-16
Connor Herr,Mens Track And Field,2015,Sr.,N/A,"Medford, N.J.",Shawnee HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2015-16
Connor Strynkowski,Mens Track And Field,2015,Sr.,N/A,"Palmyra, Pa.",Palmyra HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2015-16
David Karabinos,Mens Track And Field,2015,Jr.,N/A,"Orange, Conn.",Amity Regional HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2015-16
David Taylor,Mens Track And Field,2015,Jr.,N/A,"Charlottesville, Va.",Western Albemarle HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2015-16
Dominic DeLuca,Mens Track And Field,2015,So.,N/A,"Dallas, Pa.",Dallas HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2015-16
Eason Recto,Mens Track And Field,2015,So.,N/A,"Chantilly, Va.",Chantilly HS,N/A,N/A,https://cornellbigred.com/sports/mens-track-and-field/roster/2015-16
